"gene","panel","marker"
"Ubqln1","mouse_mix","all"
"Ubxn6","mouse_mix","all"
"Vcp","mouse_mix","all"
"Vps36","mouse_mix","all"
"Wasf2","mouse_mix","all"
"Wbp2","mouse_mix","all"
"Wfdc21","mouse_mix","Neutrophils"
"Yme1l1","mouse_mix","all"
"Ywhaz","mouse_mix","all"
"Zmat2","mouse_mix","all"
"Znrd2","mouse_mix","all"
