"gene","experiment"
"EAPP","L500_1"
"EBNA1BP2","L500_1"
"EBP","L500_1"
"ECD","L500_1"
"ECH1","L500_1"
"EDEM1","L500_1"
"EDN1","L500_1"
"EED","L500_1"
"EFCAB14","L500_1"
"EGF","L500_1"
"EGFR","L500_1"
"EGR1","L500_1"
"EIF4EBP1","L500_1"
"EIF4G1","L500_1"
"EIF5","L500_1"
"ELAC2","L500_1"
"ELAVL1","L500_1"
"ELOVL6","L500_1"
"ELP1","L500_1"
"EML3","L500_1"
"ENOPH1","L500_1"
"ENOSF1","L500_1"
"EPB41L2","L500_1"
"EPHA3","L500_1"
"EPHB2","L500_1"
"EPN2","L500_1"
"EPRS","L500_1"
"ERBB2","L500_1"
"ERBB3","L500_1"
"ERO1A","L500_1"
"ETFB","L500_1"
"ETS1","L500_1"
"ETV1","L500_1"
"EVL","L500_1"
"EXOSC4","L500_1"
"EXT1","L500_1"
"EZH2","L500_1"
"FAH","L500_1"
"FAIM","L500_1"
"FAM20B","L500_1"
"FAS","L500_1"
"FASTKD5","L500_1"
"FAT1","L500_1"
"FBXL12","L500_1"
"FBXO11","L500_1"
"FBXO21","L500_1"
"FBXO7","L500_1"
"FCHO1","L500_1"
"FDFT1","L500_1"
"FEZ2","L500_1"
"FGFR2","L500_1"
"FGFR4","L500_1"
"FHL2","L500_1"
"FIS1","L500_1"
"FKBP14","L500_1"
"FKBP4","L500_1"
"FOS","L500_1"
"FOSL1","L500_1"
"FOXJ3","L500_1"
"FOXO3","L500_1"
"FOXO4","L500_1"
"FPGS","L500_1"
"FRS2","L500_1"
"FSD1","L500_1"
"FUT1","L500_1"
"FYN","L500_1"
"FZD1","L500_1"
"FZD7","L500_1"
"G3BP1","L500_1"
"GAA","L500_1"
"GABPB1","L500_1"
"GADD45A","L500_1"
"GADD45B","L500_1"
"GALE","L500_1"
"GAPDH","L500_1"
"GATA2","L500_1"
"GATA3","L500_1"
"GDPD5","L500_1"
"GET1","L500_1"
"GFOD1","L500_1"
"GFPT1","L500_1"
"GHR","L500_1"
"GLI2","L500_1"
"GLOD4","L500_1"
"GLRX","L500_1"
"GMNN","L500_1"
"GNA11","L500_1"
"GNA15","L500_1"
"GNAI1","L500_1"
"GNAI2","L500_1"
"GNAS","L500_1"
"GNB5","L500_1"
"GNPDA1","L500_1"
"GOLT1B","L500_1"
"GPATCH8","L500_1"
"GPC1","L500_1"
"GPER1","L500_1"
"GRB10","L500_1"
"GRB7","L500_1"
"GRN","L500_1"
"GRWD1","L500_1"
"GSTM2","L500_1"
"GSTZ1","L500_1"
"GTF2A2","L500_1"
"GTF2E2","L500_1"
"GTPBP8","L500_1"
"H2AFV","L500_1"
"HACD3","L500_1"
"HADH","L500_1"
"HAT1","L500_1"
"HDAC2","L500_1"
"HDAC6","L500_1"
"HDGFL3","L500_1"
"HEATR1","L500_1"
"HEBP1","L500_1"
"HERC6","L500_1"
"HERPUD1","L500_1"
"HES1","L500_1"
"HIF1A","L500_1"
"HIST1H2BK","L500_1"
"HIST2H2BE","L500_1"
"HK1","L500_1"
"HLA-DMA","L500_1"
"HLA-DRA","L500_1"
"HMG20B","L500_1"
"HMGA2","L500_1"
"HMGCR","L500_1"
"HMGCS1","L500_1"
"HMOX1","L500_1"
"HOMER2","L500_1"
"HOOK2","L500_1"
"HOXA10","L500_1"
"HOXA5","L500_1"
"HPRT1","L500_1"
"HS2ST1","L500_1"
"HSD17B10","L500_1"
"HSD17B11","L500_1"
"HSPA1A","L500_1"
"HSPA4","L500_1"
"HSPA8","L500_1"
"HSPB1","L500_1"
"HSPD1","L500_1"
"HTATSF1","L500_1"
"HTRA1","L500_1"
"HYOU1","L500_1"
"IARS2","L500_1"
"ICAM1","L500_1"
"ICAM3","L500_1"
"ICMT","L500_1"
"ID2","L500_1"
"IDE","L500_1"
"IER3","L500_1"
"IFNAR1","L500_1"
"IFRD2","L500_1"
"IGF1R","L500_1"
"IGF2BP2","L500_1"
"IGF2R","L500_1"
"IGFBP3","L500_1"
"IGHMBP2","L500_1"
"IKBKB","L500_1"
"IKBKE","L500_1"
"IKZF1","L500_1"
"IL13RA1","L500_1"
"IL1B","L500_1"
"IL4R","L500_1"
"ILK","L500_1"
"INPP1","L500_1"
"INPP4B","L500_1"
"INSIG1","L500_1"
"INTS3","L500_1"
"IPO13","L500_1"
"IQGAP1","L500_1"
"ISOC1","L500_1"
"ITFG1","L500_1"
"ITGAE","L500_1"
"ITGB1BP1","L500_1"
"ITGB5","L500_1"
"JADE2","L500_1"
"JMJD6","L500_1"
"JPT2","L500_1"
"JUN","L500_1"
"KAT6A","L500_1"
"KAT6B","L500_1"
"KCNK1","L500_1"
"KCTD5","L500_1"
"KDELR2","L500_1"
"KDM3A","L500_1"
"KDM5A","L500_1"
"KDM5B","L500_1"
"KEAP1","L500_1"
"KHDC4","L500_1"
"KIAA0100","L500_1"
"KIAA0355","L500_1"
"KIAA0753","L500_1"
"KIF14","L500_1"
"KIF1BP","L500_1"
"KIF20A","L500_1"
"KIF2C","L500_1"
"KIF5C","L500_1"
"KIT","L500_1"
"KLHDC2","L500_1"
"KLHL21","L500_1"
"KLHL9","L500_1"
"KTN1","L500_1"
"LAGE3","L500_1"
"LAMA3","L500_1"
"LAP3","L500_1"
"LBR","L500_1"
"LGALS8","L500_1"
"LGMN","L500_1"
"LIG1","L500_1"
